,Context,Response,Text,ID
10062,فرح,واو ، هذا لا يحدث كثيرًا. أحسنت. هذه الأشياء عادة ما تكون باهظة الثمن ، أليس كذلك؟,لقد وجدت 5 حزم من ملفات تعريف الارتباط الخالية من الغلوتين في محل بقالة أمس.,10062
10063,فرح,أنا أيضا. التخليص هو أول مكان أتوجه إليه في المتجر! يجب أن يكون من الصعب للغاية أن تكون غير قادر على تحمل الغلوتين - يبدو كما لو كان هناك غلوتين في كل شيء هذه الأيام.,نعم! أنا لا أتحمل الغلوتين وأريد فقط أن أموت عندما أكون عليه ، لذا فهو دائمًا يوم جيد عندما أجد طعامًا رخيصًا مفيدًا لي أيضًا! أنا مسرور بسهولة لول. أنا أحب أشياء التخليص!,10063
10064,فرح,شيء وجدته ساعدني كثيرًا هو تناول الطعام ، على سبيل المثال خبز مصنوع من القمح العضوي. طالما أنني لا أبالغ ، فأنا بخير - الأصابع متقاطعة.,أوه هناك: (أنا آكله بين الحين والآخر ولكن يبدو أنه أفسد عملياً فقدان وزني وهضمي لذا أحاول عدم الاقتراب منه أبدًا. لديهم بدائل رائعة خالية من الغلوتين ، لكنها كلها مكلفة.,10064
10065,فرح,أنت تمر بوقت عصيب. اقترح أحدهم شراء معكرونة مستوردة من إيطاليا لأن القمح لا يحتوي على نفس المبيدات التي تم رشها على القمح مثل القمح. دونو إذا كان يعمل مع ذلك.,تساعدني العضوية كثيرًا أيضًا ولكن للأسف معظم الأشياء الخالية من الغلوتين ليست عضوية وأنا حساس جدًا لمبيدات الآفات - أحاول أن أجد طريقي للتغلب على ذلك أنا أيضًا في Keto (منخفضة الكربوهيدرات ... بعض الايام! لول,10065
10066,بهيجة,لكم من الزمن استمر ذلك؟,كنت متحمسة للغاية لقضاء ليلة مع الفتيات,10066
10067,بهيجة,قف! لذلك هناك حاجة! ماذا فعلتم يا شباب؟,ربما كان الأمر كذلك حوالي 8 أشهر,10067
10068,وحيد,أنا آسف لأنه كان عليك أن تمر بذلك.,كنت وحيدًا جدًا الليلة الماضية كما كان يوم الجمعة,10068
10069,وحيد,هذا سيء جدا. يبدو أنك بحاجة إلى بعض الأشخاص المعروفين ليحيطوا بك,أوه ، لدينا جميعًا أنا متأكد :) شكرًا. ولكن بعد ذلك ، تصرف الشخص الذي يحاول بناء الثقة معي مثل (ملء الفراغ) ولم أعد وحيدًا بعد الآن. تذكرت لماذا أفضل أن أكون وحدي.,10069
10070,فرح,كان من المفترض أن تبدأ المحادثة بموقف بناءً على السياق المختار.,كيف كان يومك أي شيء خاص يحدث الليلة أو لاحقًا؟,10070
10071,فرح,آمل ألا يتم رفض الضربة.,أنا في الواقع ضخت تمامًا لهذه الليلة سأذهب للشواء ومشاهدة معارك ufc,10071
10072,خائف,أنا آسف لسماع أنني ولدت مع الكثير من القلق لذا يمكنني أن أتحدث إلى حد ما,أخشى أحيانًا أن أتحدث علنًا على سبيل المثال أثناء الاجتماع في العمل.,10072
10073,خائف,لقد بدأت بصدق في تناول زيت cbd من خلال شبكة شارلوتس وتلاشى قلقي بعد بضعة أيام من استخدامه,شكرا. أحاول العمل على هذه المشكلة وأن أكون قادرًا على التحدث بسهولة أكبر في الأماكن العامة.,10073
10074,مندهش,أوه! هذا هو الأفضل أليس كذلك؟ ماذا ستفعل معها؟,لقد وجدت 100 دولار في بنطال قديم.,10074
10075,مندهش,اوه رائع! من الجيد دائمًا أن يكون لديك تلك المفاجآت الصغيرة في الحياة.,لم أقرر بعد. ربما تشتري بعض الصنادل الجديدة. اندلع زوجي القديم منذ أسبوعين.,10075
10076,متفائل,ما الشيء الجيد الذي تنتظره بالضبط؟,آمل أن تأتي الأشياء الجيدة لأولئك الذين ينتظرون.,10076
10077,متفائل,أنا متأكد من أنك ستجد شخصًا ما.,لقد أفسدت الكثير من العلاقات في حياتي .. اختيار الأشخاص الخطأ لذا فأنا أسعد بالانتظار حتى يصبح الأمر صحيحًا ويمكنني الوثوق بشخص ما.,10077
10078,عاطفي,من الجيد الحفاظ على هذا الاتصال مع الناس,لقد قمت بتسجيل الدخول أيضًا إلى facebook ، ولم أعد أشعر بالحزن كثيرًا لأنني لم أعد أتحدث إلى أي شخص بعد الآن.,10078
10079,عاطفي,هذا جيد في بعض الأحيان ولكن الخروج مهم بالنسبة لك أيضًا,نعم ولكني لست نفس الشخص بعد الآن. أنا فقط لا أشعر برغبة في وجود أشخاص في الجوار. لقد قضيت وقتًا ممتعًا مع الأصدقاء وأفضل أن أكون وحدي الآن.,10079
10080,المحتوى,أوه نعم ما هي درجة الحرارة في مكانك؟,أنا سعيد للاسترخاء في هذا اليوم الجميل,10080
10081,المحتوى,أوه! أنا أحب حوالي 70! هذا مثالي. أوه ، لقد تجاوزت الثمانين عامًا هنا حيث ترتفع درجة حرارتها قليلاً ولكن سيكون الجو لطيفًا عندما يحين الليل :) لا شيء مثل الصيف الجيد لرفع الروح المعنوية,إنه في السبعينيات ، لذا فهو مثالي! كيف هو الحال حيث أنت؟,10081
10082,قلق,هذا رائع! تهانينا! إذن أنت مستعد لكل شيء على وشك الحدوث؟,أنا جاهز لحفل زفافي.,10082
10083,قلق,من المؤكد أنك فعلت كل ما بوسعك لجعل هذا اليوم مميزًا!,نعم ، لقد كنت أعمل عليه كل يوم.,10083
10084,متضايق,هل أخبرت والديه؟,كنت في المسبح في ذلك اليوم مع عائلتي. كان من الممكن أن يكون الاسترخاء للغاية إذا لم يكن هناك طفل صغير يطلق الماء علينا ويزعجنا طوال الوقت.,10084
10085,متضايق,يجب أن يكون هذا غير ممتع وآمل ألا يفعل ذلك مرة أخرى.,لا لم أستطع معرفة من كان والديه لأن المسبح كان مشغولاً للغاية. كان علينا فقط أن نتعامل معه وهو يزعجنا لمدة ساعة تقريبًا.,10085
10086,حنين,أعلم أن عيد الميلاد كان الأفضل عندما كنا أطفالًا. الآن بعد أن أصبحنا بالغين ، لم يعد الأمر مثيرًا.,لقد حصلنا على الكثير من شحنات الكريسماس على مدار الشهرين الماضيين في متجري ، وهو دائمًا ما يعيد الكثير من ذكريات العصور القديمة الجيدة,10086
10087,حنين,نعم ، كنت أحب الاستيقاظ في الصباح والجري في الطابق السفلي لفتح الهدايا.,أعلم أنه ليس مثيرًا إلى هذا الحد ، لكن في بعض الأحيان أسهب في الماضي فقط وهو يجلب الابتسامة على وجهي,10087
10088,خائف,ما الذي يجري؟ هل رأيت الدكتور؟,أعاني من ألم في معدتي منذ حوالي أسبوع الآن. من خلال قراءة ما هو موجود على الإنترنت ، أشعر بقلق شديد.,10088
10089,خائف,أنا آسف للغاية عليك أن تقلق بشأن ذلك,لقد رأيت طبيبا اليوم. لقد أجرى لي اختبارات معملية لأقوم بها ولكني أخشى النتائج.,10089
10090,بهيجة,هذا جميل. هل تخطط للقيام بأنشطة معهم؟,أنا متحمس جدًا لقضاء كل يوم مع الأطفال خلال فصل الصيف,10090
10091,بهيجة,هذا عظيم,نعم ، يبدو أن هناك الكثير من الأنشطة العائلية المجانية محليًا,10091
10092,الآن,اي بلد؟,سيذهب أعز أصدقائي إلى المدرسة في بلد آخر لمدة 4 سنوات,10092
