,Context,Response,Text,ID
30188,عاطفي,هل هي عائدة,صديقي ذاهب إلى جميع أنحاء البلاد. افتقد رؤيتها كل يوم تقريبا,30188
30189,عاطفي,أوه نعم .. حسنًا ، يمكنك تطبيق Facetime أو دردشة الفيديو في هذه الأثناء!,في 4 سنوات أو نحو ذلك. ستزورها بالطبع لكنها ليست مثل رؤيتها كل يوم.,30189
30190,متفائل,سيكون هذا رائعا. ماذا ستفعل بالمكاسب؟,آمل أن أفوز في اليانصيب,30190
30191,متفائل,هاهاها هل زرت هاواي من قبل؟,غير اسمي وانتقل إلى هاواي,30191
30192,موثوق,هل يفحصونك أم أنهم يحدقون بك؟,يجب حرمان النساء في هذا الجزء من ولاية تكساس من الغرباء ... لأنني أتلقى تحديقًا جانبيًا من جميع السيدات اللاتينيات عندما أمشي في أي بار صالة رياضية أو سوبر ماركت ويخرجني ذلك,30192
30193,موثوق,ها ها! أعتقد أنهم يحبون ما يرونه!,السابق ... أزواجهن / آبائهن / أصدقائهن ، والآخر هههههه,30193
30194,حنين,4 لا يزال رضيعًا بالنسبة لي ... لكنني بدأت في معاملته كرجل,لا أصدق أن ابني سيبلغ الرابعة غدًا. لقد كان مجرد طفل ممتلئ حلو منذ دقيقة.,30194
30195,حنين,هذا مضحك.,نعم ، أنا سعيد لأنه لا يزال صغيرًا. ها ها إنه يحاول التحدث بصوت عميق مثل رجل بالفعل. فرحان.,30195
30196,غيور,أنا أحب الهوندا. هل تغار من هذا الشخص؟,اشترى صديقي المفضل للتو سيارة جديدة ، إنها هوندا سيفيك وهي حمراء.,30196
30197,غيور,أنا أعرف هذا الشعور يا صديقي.,من الصعب ألا تحسد قليلاً خاصة وأن سيارتي عام 2006!,30197
30198,موثوق,هل هي لحدث خاص؟,يجب أن أصنع كعكة الجبن لاحقًا.,30198
30199,موثوق,أتمنى أن تكون قادرًا على إنجازها في الوقت المناسب - أحب كعكة الجبن لذا أشعر بالغيرة لأنني لن أكون هناك لأكلها!,إلى حد ما هو الحال بالنسبة لعشاء الحظ. أنا متأكد من أنه يمكنني إنجازها.,30199
30200,مذعور,يا إلهي. هل كانت كبيرة؟,مشيت عبر شبكة عنكبوت بالخطأ بينما كنت أقوم بتمشيط شرفتي.,30200
30201,مذعور,رائع. هل يحدث ذلك في كثير من الأحيان؟,أود أن أقول أنها متوسطة الحجم لكنها دائمًا ما تفاجئني لأنني لا أراها.,30201
30202,تأثرت,هذا رائع تبدو متعددة الأوجه.,لقد غيرت صديقي الرعاية في الأربعينيات من عمرها وتحولت إلى القرار الأفضل في حياتها,30202
30203,تأثرت,هذا إنسان عندما تعيش لفترة من الوقت ، لا يتعين عليك القيام بالأشياء بشكل صحيح في المرة الأولى.,نعم. إنها بالتأكيد مصدر إلهام. أنا سعيد لرؤيتها سعيدة الآن.,30203
30204,فرح,"أوه نعم حبيبي هذا يبدو رائعًا. لا أعرف ما هو ولكن مقاهي الطعام في متاجر ""الشراء بالجملة"" تحتوي دائمًا على بيتزا مجنونة. أنا غيران!",أحضرت لي بعضًا من بيتزا كوستكو الكبيرة البالغة 10 دولارات في نهاية هذا الأسبوع,30204
30205,فرح,صدقني لقد أكلت نصيبي العادل منه. كانت زوجة أبي تأخذني أنا وأخي عندما كنا أصغر سناً. سأظل دائما ذكريات جميلة عن ذلك. لكنك على حق ، فأنا بحاجة إلى العودة والحصول على المزيد في وقت ما!,نعم. البيتزا كبيرة جدًا مقابل ما تحصل عليه مقابل 10 دولارات. تحتاج إلى تجربتها في وقت ما.,30205
30206,قلق,واو ، هذا يبدو مثيرًا ومثيرًا للقلق في نفس الوقت ، آمل أن يكون جيدًا بالنسبة لك.,سأذهب في موعد أعمى نهاية هذا الأسبوع. لم أكن حتى في موعد غرامي,30206
30207,قلق,حسنًا ، من الجيد أن تحصل على بعض الدعم الودود في حالة ما إذا سارت الأمور بشكل سيء.,شكرا! لقد كان الكثير من أصدقائي يدعمون جدًا مواعدتي الجديدة لول.,30207
30208,فرح,أوه ، واو. كم لديهم الآن؟ الضحك بصوت مرتفع,لا أطيق الانتظار حتى يتم إطلاق لعبة Super Smash Brothers الجديدة.,30208
30209,فرح,أوه ليس كثيرا حقا.,دعونا نرى 64 Melee Brawl Smash 4 لذا أعتقد أن هذا سيكون الخامس.,30209
30210,متفائل,واو هذه خطوة كبيرة. هل انت متحمس؟,سألتقي بصديقتي عبر الإنترنت لأول مرة في نهاية هذا الأسبوع,30210
30211,متفائل,أنا متأكد من أنها ستكون رائعة,أنا متحمس جدا. آمل ألا أذهب أمامها!,30211
30212,متضايق,أوه ، واو. أنا منبهر أنه يستطيع صنع الأثاث! هل هو مشغول؟,كنت أنتظر زوجي ليبني أثاثي الجديد وهو يستغرق وقتًا طويلاً!,30212
30213,متضايق,أووو أعطه بعض الوقت. أنا متأكد من أنه سيصل إليها في النهاية.,إنه يحتاج فقط إلى تجميعها لول إنه متعب من العمل لكني غير صبور!,30213
30214,بالإحراج,أوه لا! هل قمت بسحب حسابك؟,أتمنى لو كنت قد تحققت من حسابي المصرفي قبل الذهاب في تاريخ الليلة الماضية,30214
30215,بالإحراج,هتاف اشمئزاز هو الأسوأ. لقد حدث هذا لي عدة مرات. مثل لكمة في القناة الهضمية.,نعم. فعلت. إن تكلفة 65 دولارًا ليست مزحة.,30215
30216,فخور,حسنًا ، أنت بالتأكيد تستحق ذلك بعد ذلك!,لقد حصلت للتو على ترقية وظيفية ضخمة قبل 4 أشهر مما كان متوقعًا لأنني جلبت الكثير من العملاء الجدد.,30216
30217,فخور,ما مقدار الزيادة التي تحصل عليها؟,نعم لقد بذلت في العمل الشاق.,30217
30218,رعاية,تبدو وكأنك صديق جيد جدا!,أنا أشاهد كلب أصدقائي غدًا. إنها ذاهبة إلى المدينة أنا فقط أحب ذلك الكلب,30218
30219,رعاية,أتمنى لو كان لدي صديق مثلك.,أحاول أن أكون أحاول مساعدتها بقدر ما أستطيع,30219
30220,خجلان,أنا أحب كعكة الآيس كريم هل استمتعت بها؟,أكلت كعكة عيد ميلاد ابني الآيس كريم.,30220
30221,خجلان,انها مجرد كعكة سيكون هناك دائما كعكة أخرى,نعم ولكني أشعر بالذنب الشديد لسلوكي.,30221
30222,عاطفي,أعرف ما تعنيه أنه لا يمكن لأحد الوصول إليك مثل والدتك. لكنهم رائعون.,أنا أفتقد أمي. لا أصدق أنني كنت منزعجًا جدًا من رؤيتها كل يوم عندما كنت صغيرًا,30222
30223,عاطفي,أوه نعم أن تربى أو تقضي الكثير من الوقت مع أسرهم. من المؤكد أنه عالم مجنون.,نعم. يمكن للوالدين أن يكونوا رائعين للغاية. أشعر بالسوء تجاه الأشخاص الذين ليسوا محظوظين.,30223
30224,مشمئز,تبا. هل فعلت شيئًا يزعج كلبك؟,كلبي يتغوط بالقرب من سريري قبل أن أنام.,30224
30225,مشمئز,أوه لا. هل حدث شيء سيء؟,كانت عاصفة ولكن الصوت لم يكن مرتفعًا جدًا لذا اعتقدت أنه سيكون من الجيد تركه خارج قفصه.,30225
30226,تأثرت,لقد حصلوا على طن من النحل العامل وفقًا لأوامرهم,لا أعرف كيف يدفع الطهاة الطعام بهذه السرعة. بالكاد يمكنني الحصول على وجبة جاهزة في أقل من ساعة.,30226
30227,تأثرت,نعم,أوه هل هذا السر ؟!,30227
30228,خائب الامل,انا اسف لسماع ذلك. هل ستحصل على يوم عطلة قريبا؟,كنت حزينًا عندما لم أستطع الحصول على إجازة,30228
30229,خائب الامل,سأصلي من أجلك! أنت بحاجة إلى استراحة قبل أن تحترق.,الأسبوع المقبل نأمل,30229
30230,خائف,اعتقد انها حشرة؟,لا أعرف ما هو هذا الشيء ولكن لديه الكثير من الأرجل لراحي,30230
30231,خائف,أعتقد أنه عليك أن تسأل منشئها,قطعا حشرة لكن لماذا كل هذه الأرجل؟ !!,30231
30232,متفائل,أوه فهمتك. لقد كانت تمطر هنا كل يوم.,لدي آمال كبيرة في نهاية هذا الأسبوع. أعتقد أنه قد يكون مشمسًا هنا,30232
30233,متفائل,آمل أن تحصل على بعض الشمس حيث أنت أيضًا. الكثير من المطر يمكن أن يصبح محبطًا.,كذلك هنا. لقد سئمت منه بالفعل,30233
30234,مندهش,الآن هذا من أكثر الأشياء المؤسفة التي سمعتها طوال الأسبوع. كيف اخرجته من شعرك؟ ايو,كنت أسير في الشارع قبل أيام وشعرت بشيء أصاب رأسي. أدركت أن طائرًا قد تبرز علي! لقد صدمت جدا.,30234
30235,مندهش,هذا ما أعتقده هو رد مبرر جدا بصراحة لول. الآن على الأقل كل ما عليك فعله هو تنظيف المظلة!,ليس مؤسفًا مثل ما سمعته للتو ولكن شكرًا. اضطررت إلى الركض إلى المنزل والاستحمام على الفور. الآن أتجول مع مظلة!,30235
30236,خائف,رائع. هذا رائع جدا. لقد مررت بالكثير في الحياة.,عندما كنت مراهقًا محميًا ، كنت أخاف من أي تجربة جديدة تقريبًا ... ولكن منذ أن تم طردني من المنزل ، عشت بلا مأوى ، وتعرضت للضرب في بعض معارك الشوارع التي دارت بين أبطال الدولة في الحلبة وأصبحوا يعملون لحسابهم الخاص لا يوجد شيء يخيفني حقًا بعد الآن,30236
30237,خائف,آمل أن يكون الإبحار سلسًا من لا فصاعدًا.,نعم وأنا 26 فقط :),30237
30238,مذنب,أوه ... إذا كنت الفتاة لا بأس بذلك ... إذا كنت شابًا ، فاحضر بعض المال,انتهى تاريخي بدفع ثمن العشاء. تم رفض بطاقتي,30238
30239,مذنب,تسك تسك فلدي نسخة احتياطية. لا شيء يوقف الفتاة أكثر من الاضطرار إلى دفع ثمن كل شيء ... يحبون الشعور بالأمان,لول أنا عادة لا أحمل النقود!,30239
30240,متفائل,كم هو الفوز بالجائزة الكبرى؟,أتمنى أن أفوز باليانصيب يوم الجمعة,30240
30241,متفائل,هذا مبلغ كبير من المال!,230 مليون,30241
30242,الآن,لقد كنت جيدًا جدًا بالنسبة لهم على أي حال!,لم ألتحق بمدرسة خياري الأولى.,30242
30243,الآن,أنا متأكد من أنك ستبلي بلاءً حسناً أينما ذهبت,شكرا جزيلا! الذي جعلني أبتسم!,30243
